DataZone2011Code,DataZone2011Name,SubHSCPName,CouncilArea2019Name
S01007284,"Mull, Iona, Coll and Tiree - 01","Mull, Iona, Coll, Tiree and Colonsay",Argyll and Bute
S01007285,"Mull, Iona, Coll and Tiree - 02","Mull, Iona, Coll, Tiree and Colonsay",Argyll and Bute
S01007286,"Mull, Iona, Coll and Tiree - 03","Mull, Iona, Coll, Tiree and Colonsay",Argyll and Bute
S01007287,"Mull, Iona, Coll and Tiree - 04","Mull, Iona, Coll, Tiree and Colonsay",Argyll and Bute
S01007288,"Mull, Iona, Coll and Tiree - 05","Mull, Iona, Coll, Tiree and Colonsay",Argyll and Bute
S01007289,Oban South - 01,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007290,Oban South - 02,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007291,Oban South - 03,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007292,Oban South - 04,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007293,Oban South - 05,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007294,Oban South - 06,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007295,Oban South - 07,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007296,Oban South - 08,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007297,Oban North - 01,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007298,Oban North - 02,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007299,Oban North - 03,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007300,Oban North - 04,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007301,Benderloch Trail - 01,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007302,Benderloch Trail - 02,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007303,Benderloch Trail - 03,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007304,Benderloch Trail - 04,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007305,Benderloch Trail - 05,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007306,Benderloch Trail - 06,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007307,Benderloch Trail - 07,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007308,Loch Awe - 01,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007309,Loch Awe - 02,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007310,Loch Awe - 03,"Oban, Lorn and the Inner Isles",Argyll and Bute
S01007311,Mid Argyll - 01,Mid Argyll,Argyll and Bute
S01007312,Mid Argyll - 02,Mid Argyll,Argyll and Bute
S01007313,Mid Argyll - 03,Mid Argyll,Argyll and Bute
S01007314,Mid Argyll - 04,Mid Argyll,Argyll and Bute
S01007315,Greater Lochgilphead - 01,Mid Argyll,Argyll and Bute
S01007316,Greater Lochgilphead - 02,Mid Argyll,Argyll and Bute
S01007317,Greater Lochgilphead - 03,Mid Argyll,Argyll and Bute
S01007318,Greater Lochgilphead - 04,Mid Argyll,Argyll and Bute
S01007319,Greater Lochgilphead - 05,Mid Argyll,Argyll and Bute
S01007320,Knapdale - 01,Mid Argyll,Argyll and Bute
S01007321,Knapdale - 02,Mid Argyll,Argyll and Bute
S01007322,Knapdale - 03,Mid Argyll,Argyll and Bute
S01007323,Knapdale - 04,Mid Argyll,Argyll and Bute
S01007324,Whisky Isles - 01,Islay and Jura,Argyll and Bute
S01007325,Whisky Isles - 02,Islay and Jura,Argyll and Bute
S01007326,Whisky Isles - 03,Islay and Jura,Argyll and Bute
S01007327,Whisky Isles - 04,Islay and Jura,Argyll and Bute
S01007328,Whisky Isles - 05,Islay and Jura,Argyll and Bute
S01007329,Kintyre Trail - 01,Kintyre,Argyll and Bute
S01007330,Kintyre Trail - 02,Kintyre,Argyll and Bute
S01007331,Kintyre Trail - 03,Kintyre,Argyll and Bute
S01007332,Kintyre Trail - 04,Kintyre,Argyll and Bute
S01007333,Campbeltown - 01,Kintyre,Argyll and Bute
S01007334,Campbeltown - 02,Kintyre,Argyll and Bute
S01007335,Campbeltown - 03,Kintyre,Argyll and Bute
S01007336,Campbeltown - 04,Kintyre,Argyll and Bute
S01007337,Campbeltown - 05,Kintyre,Argyll and Bute
S01007338,Campbeltown - 06,Kintyre,Argyll and Bute
S01007339,Campbeltown - 07,Kintyre,Argyll and Bute
S01007340,Bute - 01,Bute,Argyll and Bute
S01007341,Bute - 02,Bute,Argyll and Bute
S01007342,Bute - 03,Bute,Argyll and Bute
S01007343,Bute - 04,Bute,Argyll and Bute
S01007344,Rothesay Town - 01,Bute,Argyll and Bute
S01007345,Rothesay Town - 02,Bute,Argyll and Bute
S01007346,Rothesay Town - 03,Bute,Argyll and Bute
S01007347,Rothesay Town - 04,Bute,Argyll and Bute
S01007348,Rothesay Town - 05,Bute,Argyll and Bute
S01007349,Rothesay Town - 06,Bute,Argyll and Bute
S01007350,Rothesay Town - 07,Bute,Argyll and Bute
S01007351,Cowal South - 01,Cowal,Argyll and Bute
S01007352,Cowal South - 02,Cowal,Argyll and Bute
S01007353,Cowal South - 03,Cowal,Argyll and Bute
S01007354,Cowal South - 04,Cowal,Argyll and Bute
S01007355,Cowal North - 01,Cowal,Argyll and Bute
S01007356,Cowal North - 02,Cowal,Argyll and Bute
S01007357,Cowal North - 03,Cowal,Argyll and Bute
S01007358,Cowal North - 04,Helensburgh and Lomond,Argyll and Bute
S01007359,Hunter's Quay - 01,Cowal,Argyll and Bute
S01007360,Hunter's Quay - 02,Cowal,Argyll and Bute
S01007361,Hunter's Quay - 03,Cowal,Argyll and Bute
S01007362,Hunter's Quay - 04,Cowal,Argyll and Bute
S01007363,Hunter's Quay - 05,Cowal,Argyll and Bute
S01007364,Hunter's Quay - 06,Cowal,Argyll and Bute
S01007365,Hunter's Quay - 07,Cowal,Argyll and Bute
S01007366,Dunoon - 01,Cowal,Argyll and Bute
S01007367,Dunoon - 02,Cowal,Argyll and Bute
S01007368,Dunoon - 03,Cowal,Argyll and Bute
S01007369,Dunoon - 04,Cowal,Argyll and Bute
S01007370,Dunoon - 05,Cowal,Argyll and Bute
S01007371,Dunoon - 06,Cowal,Argyll and Bute
S01007372,Dunoon - 07,Cowal,Argyll and Bute
S01007373,Garelochhead - 01,Helensburgh and Lomond,Argyll and Bute
S01007374,Garelochhead - 02,Helensburgh and Lomond,Argyll and Bute
S01007375,Garelochhead - 03,Helensburgh and Lomond,Argyll and Bute
S01007376,Garelochhead - 04,Helensburgh and Lomond,Argyll and Bute
S01007377,Garelochhead - 05,Helensburgh and Lomond,Argyll and Bute
S01007378,Garelochhead - 06,Helensburgh and Lomond,Argyll and Bute
S01007379,Garelochhead - 07,Helensburgh and Lomond,Argyll and Bute
S01007380,Garelochhead - 08,Helensburgh and Lomond,Argyll and Bute
S01007381,Helensburgh West and Rhu - 01,Helensburgh and Lomond,Argyll and Bute
S01007382,Helensburgh West and Rhu - 02,Helensburgh and Lomond,Argyll and Bute
S01007383,Helensburgh West and Rhu - 03,Helensburgh and Lomond,Argyll and Bute
S01007384,Helensburgh West and Rhu - 04,Helensburgh and Lomond,Argyll and Bute
S01007385,Helensburgh West and Rhu - 05,Helensburgh and Lomond,Argyll and Bute
S01007386,Helensburgh West and Rhu - 06,Helensburgh and Lomond,Argyll and Bute
S01007387,Helensburgh North - 01,Helensburgh and Lomond,Argyll and Bute
S01007388,Helensburgh North - 02,Helensburgh and Lomond,Argyll and Bute
S01007389,Helensburgh North - 03,Helensburgh and Lomond,Argyll and Bute
S01007390,Helensburgh North - 04,Helensburgh and Lomond,Argyll and Bute
S01007391,Helensburgh North - 05,Helensburgh and Lomond,Argyll and Bute
S01007392,Helensburgh North - 06,Helensburgh and Lomond,Argyll and Bute
S01007393,Helensburgh North - 07,Helensburgh and Lomond,Argyll and Bute
S01007394,Helensburgh Centre - 01,Helensburgh and Lomond,Argyll and Bute
S01007395,Helensburgh Centre - 02,Helensburgh and Lomond,Argyll and Bute
S01007396,Helensburgh Centre - 03,Helensburgh and Lomond,Argyll and Bute
S01007397,Helensburgh Centre - 04,Helensburgh and Lomond,Argyll and Bute
S01007398,Helensburgh East - 01,Helensburgh and Lomond,Argyll and Bute
S01007399,Helensburgh East - 02,Helensburgh and Lomond,Argyll and Bute
S01007400,Helensburgh East - 03,Helensburgh and Lomond,Argyll and Bute
S01007401,Helensburgh East - 04,Helensburgh and Lomond,Argyll and Bute
S01007402,Helensburgh East - 05,Helensburgh and Lomond,Argyll and Bute
S01007403,Helensburgh East - 06,Helensburgh and Lomond,Argyll and Bute
S01007404,Lomond Shore - 01,Helensburgh and Lomond,Argyll and Bute
S01007405,Lomond Shore - 02,Helensburgh and Lomond,Argyll and Bute
S01007406,Lomond Shore - 03,Helensburgh and Lomond,Argyll and Bute
S01007407,Lomond Shore - 04,Helensburgh and Lomond,Argyll and Bute
S01007408,Lomond Shore - 05,Helensburgh and Lomond,Argyll and Bute
S01010504,Lochaber West - 01,Lochaber,Highland
S01010505,Lochaber West - 02,Lochaber,Highland
S01010506,Lochaber West - 03,Lochaber,Highland
S01010507,Lochaber West - 04,Lochaber,Highland
S01010508,Lochaber West - 05,Lochaber,Highland
S01010509,Lochaber West - 06,Lochaber,Highland
S01010510,Fort William North - 01,Lochaber,Highland
S01010511,Fort William North - 02,Lochaber,Highland
S01010512,Fort William North - 03,Lochaber,Highland
S01010513,Fort William North - 04,Lochaber,Highland
S01010514,Fort William North - 05,Lochaber,Highland
S01010515,Fort William North - 06,Lochaber,Highland
S01010516,Fort William South - 01,Lochaber,Highland
S01010517,Fort William South - 02,Lochaber,Highland
S01010518,Fort William South - 03,Lochaber,Highland
S01010519,Fort William South - 04,Lochaber,Highland
S01010520,Fort William South - 05,Lochaber,Highland
S01010521,Fort William South - 06,Lochaber,Highland
S01010522,Fort William South - 07,Lochaber,Highland
S01010523,Fort William South - 08,Lochaber,Highland
